County Name,State Fiscal Year,Ticket Sales,Prizes Paid,Retailer Commissions,FIPS County Code,Latitude,Longitude,Georeferenced Latitude & Longitude
Cameron,2011-2012,1891862,1120383,101038,42023,41.43880265,-78.20916932,POINT (-78.20916932 41.43880265)
Adams,2019-2020,25967622,19753784,1489854,42001,39.87209565,-77.22224271,POINT (-77.22224271 39.87209565)
Berks,2019-2020,121991450,76526988,6660250,42011,40.41939635,-75.93077327,POINT (-75.93077327 40.41939635)
Cambria,2019-2020,73105524,50158677,4032515,42021,40.49127491,-78.71894174,POINT (-78.71894174 40.49127491)
Sullivan,2019-2020,1569653,871843,88100,42113,41.44809940,-76.51479220,POINT (-76.5147922 41.4480994)
Mercer,2019-2020,41611378,27336952,2349355,42085,41.30237777,-80.26009411,POINT (-80.26009411 41.30237777)
Erie,2019-2020,108124704,73713061,6406747,42049,41.99413787,-80.04075910,POINT (-80.0407591 41.99413787)
Lebanon,2019-2020,37846161,25707098,2127567,42075,40.36759700,-76.46182575,POINT (-76.46182575 40.367597)
Fayette,2019-2020,67143261,45763270,3967498,42051,39.91944780,-79.65189635,POINT (-79.65189635 39.9194478)
Potter,2019-2020,5032572,4732059,296503,42105,41.74420644,-77.89879229,POINT (-77.89879229 41.74420644)
Chester,2019-2020,99989330,64204366,5516519,42029,39.97487056,-75.75626498,POINT (-75.75626498 39.97487056)
Cumberland,2019-2020,76105165,53376606,4393194,42041,40.16759839,-77.26866271,POINT (-77.26866271 40.16759839)
Montour,2019-2020,6345915,4178124,344753,42093,41.02801824,-76.66470527,POINT (-76.66470527 41.02801824)
Susquehanna,2019-2020,13088293,8475434,734530,42115,41.82056860,-75.80250303,POINT (-75.80250303 41.8205686)
Greene,2019-2020,14357820,8798807,811746,42059,39.85480393,-80.22943817,POINT (-80.22943817 39.85480393)
Warren,2019-2020,17015765,11584153,918002,42123,41.81675237,-79.27858158,POINT (-79.27858158 41.81675237)
Allegheny,2019-2020,480803543,311440809,28453822,42003,40.46735543,-79.98619843,POINT (-79.98619843 40.46735543)
Blair,2019-2020,67902212,47536753,3742628,42013,40.48555024,-78.34907687,POINT (-78.34907687 40.48555024)
Venango,2019-2020,20379683,14263320,1173027,42121,41.40341259,-79.76286561,POINT (-79.76286561 41.40341259)
Fulton,2019-2020,3508489,2230615,199728,42057,39.92487511,-78.11485045,POINT (-78.11485045 39.92487511)
Lehigh,2019-2020,102525983,65928516,5788206,42077,40.61464794,-75.60099481,POINT (-75.60099481 40.61464794)
Dauphin,2019-2020,114270294,76702529,6361496,42043,40.41974636,-76.77960568,POINT (-76.77960568 40.41974636)
Juniata,2019-2020,5882829,4615068,314150,42067,40.53433008,-77.40577500,POINT (-77.405775 40.53433008)
Wyoming,2019-2020,11415940,7242610,649979,42131,41.51892488,-76.01813003,POINT (-76.01813003 41.51892488)
Butler,2019-2020,67049827,46913370,3656253,42019,40.91083185,-79.91711779,POINT (-79.91711779 40.91083185)
Schuylkill,2019-2020,72318450,47388095,3883967,42107,40.70751243,-76.22332385,POINT (-76.22332385 40.70751243)
Centre,2019-2020,26324823,20151669,1514190,42027,40.91931350,-77.82500112,POINT (-77.82500112 40.9193135)
Mckean,2019-2020,16739621,12372148,1021597,42083,41.81037074,-78.57122020,POINT (-78.5712202 41.81037074)
Armstrong,2019-2020,27802120,24175882,1650861,42005,40.81509526,-79.47316899,POINT (-79.47316899 40.81509526)
Jefferson,2019-2020,15549765,9984326,882082,42065,41.13139091,-79.00101814,POINT (-79.00101814 41.13139091)
Lackawanna,2019-2020,107098211,70694838,6322942,42069,41.43910064,-75.61218345,POINT (-75.61218345 41.43910064)
Montgomery,2019-2020,229840010,139365433,13339100,42091,40.20989874,-75.37252001,POINT (-75.37252001 40.20989874)
Westmoreland,2019-2020,174611383,119724069,10176117,42129,40.31031500,-79.47134118,POINT (-79.47134118 40.310315)
Clinton,2019-2020,15187032,9862785,858147,42035,41.23286274,-77.64283760,POINT (-77.6428376 41.23286274)
Delaware,2019-2020,191156169,114924513,11070587,42045,39.91657867,-75.40627712,POINT (-75.40627712 39.91657867)
Monroe,2019-2020,55578294,33014152,3292353,42089,41.06091787,-75.34083603,POINT (-75.34083603 41.06091787)
Union,2019-2020,10843054,7083668,611981,42119,40.96473131,-77.06415803,POINT (-77.06415803 40.96473131)
Franklin,2019-2020,44151536,28407472,2595445,42055,39.92786197,-77.72398845,POINT (-77.72398845 39.92786197)
Carbon,2019-2020,30775249,20021714,1681493,42025,40.91936701,-75.71107039,POINT (-75.71107039 40.91936701)
Snyder,2019-2020,11319711,7289431,624093,42109,40.77113737,-77.07255968,POINT (-77.07255968 40.77113737)
Perry,2019-2020,13702151,9152690,759659,42099,40.40415317,-77.25907385,POINT (-77.25907385 40.40415317)
Bradford,2019-2020,23813393,15638097,1398770,42015,41.79117814,-76.51825624,POINT (-76.51825624 41.79117814)
Luzerne,2019-2020,149233720,94318930,8474309,42079,41.17836439,-75.99199610,POINT (-75.9919961 41.17836439)
York,2019-2020,135938787,103267176,7680791,42133,39.92192531,-76.72576052,POINT (-76.72576052 39.92192531)
Beaver,2019-2020,64004860,40352374,3607340,42007,40.68349245,-80.35107356,POINT (-80.35107356 40.68349245)
Lancaster,2019-2020,132810826,88471507,7432245,42071,40.04590796,-76.25138768,POINT (-76.25138768 40.04590796)
Northumberland,2019-2020,37829775,26558781,2081879,42097,40.85150926,-76.71188423,POINT (-76.71188423 40.85150926)
Wayne,2019-2020,16063307,10132589,955233,42127,41.64969805,-75.30515350,POINT (-75.3051535 41.64969805)
Columbia,2019-2020,23831632,15809106,1323569,42037,41.04912086,-76.41002180,POINT (-76.4100218 41.04912086)
Philadelphia,2019-2020,603384038,365137968,36164915,42101,40.00444354,-75.14023600,POINT (-75.140236 40.00444354)
Out Of State,2019-2020,,8460798,,,,,
Clearfield,2019-2020,34818324,22936751,1952564,42033,41.00042900,-78.47558343,POINT (-78.47558343 41.000429)
Indiana,2019-2020,32973058,23299001,1955624,42063,40.65295497,-79.09333493,POINT (-79.09333493 40.65295497)
Cameron,2019-2020,2590509,1697641,159335,42023,41.43880265,-78.20916932,POINT (-78.20916932 41.43880265)
Mifflin,2019-2020,18143930,12416092,1070641,42087,40.61274928,-77.62003089,POINT (-77.62003089 40.61274928)
Lycoming,2019-2020,43017667,30258688,2417593,42081,41.34459792,-77.06942457,POINT (-77.06942457 41.34459792)
Forest,2019-2020,2051484,1197697,125995,42053,41.51357876,-79.23780995,POINT (-79.23780995 41.51357876)
Somerset,2019-2020,27132453,18103187,1537171,42111,39.97146299,-79.03100206,POINT (-79.03100206 39.97146299)
Elk,2019-2020,12029240,7817949,673338,42047,41.42819416,-78.64947713,POINT (-78.64947713 41.42819416)
Bucks,2019-2020,192200121,127253664,11036892,42017,40.33501133,-75.11291241,POINT (-75.11291241 40.33501133)
Tioga,2019-2020,12642262,8345121,687935,42117,41.77333834,-77.25788076,POINT (-77.25788076 41.77333834)
Lawrence,2019-2020,35294291,23666903,2014568,42073,40.99325035,-80.33754114,POINT (-80.33754114 40.99325035)
Huntingdon,2019-2020,15919029,10831531,868406,42061,40.41610500,-77.98276610,POINT (-77.9827661 40.416105)
Pike,2019-2020,14050206,9668256,874292,42103,41.33257200,-75.03270924,POINT (-75.03270924 41.332572)
Crawford,2019-2020,28541155,18795450,1568880,42039,41.68546907,-80.11321083,POINT (-80.11321083 41.68546907)
Bedford,2019-2020,12288309,7982801,681973,42009,40.00737536,-78.49116474,POINT (-78.49116474 40.00737536)
Northampton,2019-2020,87594826,56138970,5034715,42095,40.75459540,-75.31263726,POINT (-75.31263726 40.7545954)
Clarion,2019-2020,14816000,9909354,844556,42031,41.19279129,-79.42483608,POINT (-79.42483608 41.19279129)
Out Of Country,2019-2020,,555,,,,,
Washington,2019-2020,70429322,43420614,4066629,42125,40.19109663,-80.25180083,POINT (-80.25180083 40.19109663)
Adams,2020-2021,30398262,22988941,1919304,42001,39.87209565,-77.22224271,POINT (-77.22224271 39.87209565)
Berks,2020-2021,141117539,88968286,8810329,42011,40.41939635,-75.93077327,POINT (-75.93077327 40.41939635)
Cambria,2020-2021,84295020,60181364,5330586,42021,40.49127491,-78.71894174,POINT (-78.71894174 40.49127491)
Sullivan,2020-2021,1836342,1040107,110509,42113,41.44809940,-76.51479220,POINT (-76.5147922 41.4480994)
Mercer,2020-2021,50618765,32180174,3147055,42085,41.30237777,-80.26009411,POINT (-80.26009411 41.30237777)
Erie,2020-2021,132706306,90165308,8587059,42049,41.99413787,-80.04075910,POINT (-80.0407591 41.99413787)
Lebanon,2020-2021,46023069,32656052,2868091,42075,40.36759700,-76.46182575,POINT (-76.46182575 40.367597)
Fayette,2020-2021,81054544,59181233,5239143,42051,39.91944780,-79.65189635,POINT (-79.65189635 39.9194478)
Potter,2020-2021,5680645,3595354,345814,42105,41.74420644,-77.89879229,POINT (-77.89879229 41.74420644)
Chester,2020-2021,117287503,81602992,7065278,42029,39.97487056,-75.75626498,POINT (-75.75626498 39.97487056)
Cumberland,2020-2021,86960111,59170719,5194987,42041,40.16759839,-77.26866271,POINT (-77.26866271 40.16759839)
Montour,2020-2021,7374072,4915601,449394,42093,41.02801824,-76.66470527,POINT (-76.66470527 41.02801824)
Susquehanna,2020-2021,15479096,10436231,908484,42115,41.82056860,-75.80250303,POINT (-75.80250303 41.8205686)
Greene,2020-2021,17756285,11514045,1135404,42059,39.85480393,-80.22943817,POINT (-80.22943817 39.85480393)
Warren,2020-2021,19568623,13850294,1236914,42123,41.81675237,-79.27858158,POINT (-79.27858158 41.81675237)
Allegheny,2020-2021,563856385,363634057,35184503,42003,40.46735543,-79.98619843,POINT (-79.98619843 40.46735543)
Blair,2020-2021,77697652,55606766,4857692,42013,40.48555024,-78.34907687,POINT (-78.34907687 40.48555024)
Venango,2020-2021,24639616,19186151,1572752,42121,41.40341259,-79.76286561,POINT (-79.76286561 41.40341259)
Fulton,2020-2021,4088792,2924647,236460,42057,39.92487511,-78.11485045,POINT (-78.11485045 39.92487511)
Lehigh,2020-2021,119384632,79171443,7385162,42077,40.61464794,-75.60099481,POINT (-75.60099481 40.61464794)
Dauphin,2020-2021,149471362,85674132,8034455,42043,40.41974636,-76.77960568,POINT (-76.77960568 40.41974636)
Juniata,2020-2021,6489497,4203726,387952,42067,40.53433008,-77.40577500,POINT (-77.405775 40.53433008)
Wyoming,2020-2021,13287614,8764309,778525,42131,41.51892488,-76.01813003,POINT (-76.01813003 41.51892488)
Butler,2020-2021,76853821,51526255,4641013,42019,40.91083185,-79.91711779,POINT (-79.91711779 40.91083185)
Schuylkill,2020-2021,85983825,60317683,5415830,42107,40.70751243,-76.22332385,POINT (-76.22332385 40.70751243)
Centre,2020-2021,30085569,19723325,1797317,42027,40.91931350,-77.82500112,POINT (-77.82500112 40.9193135)
Mckean,2020-2021,20182560,13644705,1825747,42083,41.81037074,-78.57122020,POINT (-78.5712202 41.81037074)
Armstrong,2020-2021,33851398,22176126,2114055,42005,40.81509526,-79.47316899,POINT (-79.47316899 40.81509526)
Jefferson,2020-2021,18542491,11994762,1137357,42065,41.13139091,-79.00101814,POINT (-79.00101814 41.13139091)
Lackawanna,2020-2021,122521898,83352594,7688086,42069,41.43910064,-75.61218345,POINT (-75.61218345 41.43910064)
Montgomery,2020-2021,277122208,186430035,16972611,42091,40.20989874,-75.37252001,POINT (-75.37252001 40.20989874)
Westmoreland,2020-2021,197121569,131550434,12116138,42129,40.31031500,-79.47134118,POINT (-79.47134118 40.310315)
Clinton,2020-2021,17919428,12625788,1133220,42035,41.23286274,-77.64283760,POINT (-77.6428376 41.23286274)
Delaware,2020-2021,238520797,150177809,15111447,42045,39.91657867,-75.40627712,POINT (-75.40627712 39.91657867)
Monroe,2020-2021,67285690,42809000,4113576,42089,41.06091787,-75.34083603,POINT (-75.34083603 41.06091787)
Union,2020-2021,12244014,7853437,734770,42119,40.96473131,-77.06415803,POINT (-77.06415803 40.96473131)
Franklin,2020-2021,52032012,36125241,3270376,42055,39.92786197,-77.72398845,POINT (-77.72398845 39.92786197)
Carbon,2020-2021,37206193,24080110,2348789,42025,40.91936701,-75.71107039,POINT (-75.71107039 40.91936701)
Snyder,2020-2021,13756508,10257994,852088,42109,40.77113737,-77.07255968,POINT (-77.07255968 40.77113737)
Perry,2020-2021,15839477,10770604,992577,42099,40.40415317,-77.25907385,POINT (-77.25907385 40.40415317)
Bradford,2020-2021,28089324,19367561,1761433,42015,41.79117814,-76.51825624,POINT (-76.51825624 41.79117814)
Luzerne,2020-2021,175534349,115312790,10939292,42079,41.17836439,-75.99199610,POINT (-75.9919961 41.17836439)
York,2020-2021,156431053,106436273,9644505,42133,39.92192531,-76.72576052,POINT (-76.72576052 39.92192531)
Beaver,2020-2021,76866271,52815780,4773107,42007,40.68349245,-80.35107356,POINT (-80.35107356 40.68349245)
Lancaster,2020-2021,155459581,104389754,9570772,42071,40.04590796,-76.25138768,POINT (-76.25138768 40.04590796)
Northumberland,2020-2021,45103337,32187678,2893886,42097,40.85150926,-76.71188423,POINT (-76.71188423 40.85150926)
Wayne,2020-2021,19420721,12022480,1185622,42127,41.64969805,-75.30515350,POINT (-75.3051535 41.64969805)
Columbia,2020-2021,28075937,18403415,1746437,42037,41.04912086,-76.41002180,POINT (-76.4100218 41.04912086)
Philadelphia,2020-2021,732920792,463181763,45736438,42101,40.00444354,-75.14023600,POINT (-75.140236 40.00444354)
Out Of State,2020-2021,,22145015,,,,,
Clearfield,2020-2021,40266760,28950289,2513585,42033,41.00042900,-78.47558343,POINT (-78.47558343 41.000429)
Indiana,2020-2021,38810708,29281778,2461013,42063,40.65295497,-79.09333493,POINT (-79.09333493 40.65295497)
Cameron,2020-2021,3236688,2081953,205634,42023,41.43880265,-78.20916932,POINT (-78.20916932 41.43880265)
Mifflin,2020-2021,20771693,16719800,1283367,42087,40.61274928,-77.62003089,POINT (-77.62003089 40.61274928)
Lycoming,2020-2021,49181729,33742469,3045263,42081,41.34459792,-77.06942457,POINT (-77.06942457 41.34459792)
Forest,2020-2021,2373758,1371367,146087,42053,41.51357876,-79.23780995,POINT (-79.23780995 41.51357876)
Somerset,2020-2021,32115537,23232864,1976038,42111,39.97146299,-79.03100206,POINT (-79.03100206 39.97146299)
Elk,2020-2021,13583775,8761804,793134,42047,41.42819416,-78.64947713,POINT (-78.64947713 41.42819416)
Bucks,2020-2021,227270043,151152316,13932692,42017,40.33501133,-75.11291241,POINT (-75.11291241 40.33501133)
Tioga,2020-2021,14355730,9941710,868906,42117,41.77333834,-77.25788076,POINT (-77.25788076 41.77333834)
Lawrence,2020-2021,42235033,30157626,2702728,42073,40.99325035,-80.33754114,POINT (-80.33754114 40.99325035)
Huntingdon,2020-2021,18364299,12971814,1131506,42061,40.41610500,-77.98276610,POINT (-77.9827661 40.416105)
Pike,2020-2021,16608252,9869534,994797,42103,41.33257200,-75.03270924,POINT (-75.03270924 41.332572)
Crawford,2020-2021,34249249,23283305,2195702,42039,41.68546907,-80.11321083,POINT (-80.11321083 41.68546907)
Bedford,2020-2021,14475027,9166789,882585,42009,40.00737536,-78.49116474,POINT (-78.49116474 40.00737536)
Northampton,2020-2021,102160864,69077295,6272637,42095,40.75459540,-75.31263726,POINT (-75.31263726 40.7545954)
Clarion,2020-2021,17750453,12248257,1120508,42031,41.19279129,-79.42483608,POINT (-79.42483608 41.19279129)
Out Of Country,2020-2021,,4032,,,,,
Washington,2020-2021,82616597,54637824,5243696,42125,40.19109663,-80.25180083,POINT (-80.25180083 40.19109663)
Adams,2021-2022,29900757,17619574,1731108,42001,39.87209565,-77.22224271,POINT (-77.22224271 39.87209565)
Berks,2021-2022,132620994,78146530,7390793,42011,40.41939635,-75.93077327,POINT (-75.93077327 40.41939635)
Cambria,2021-2022,78390999,47691455,4199155,42021,40.49127491,-78.71894174,POINT (-78.71894174 40.49127491)
Sullivan,2021-2022,1556622,758957,90610,42113,41.44809940,-76.51479220,POINT (-76.5147922 41.4480994)
Mercer,2021-2022,48310435,27795287,2904173,42085,41.30237777,-80.26009411,POINT (-80.26009411 41.30237777)
Out Of State,2021-2022,,335743175,,,,,
Erie,2021-2022,122820975,80658997,6709475,42049,41.99413787,-80.04075910,POINT (-80.0407591 41.99413787)
Lebanon,2021-2022,44432764,30268393,2455358,42075,40.36759700,-76.46182575,POINT (-76.46182575 40.367597)
Fayette,2021-2022,77361781,48208461,4420581,42051,39.91944780,-79.65189635,POINT (-79.65189635 39.9194478)
Potter,2021-2022,5715846,3252350,345521,42105,41.74420644,-77.89879229,POINT (-77.89879229 41.74420644)
Chester,2021-2022,116397193,69611541,6767669,42029,39.97487056,-75.75626498,POINT (-75.75626498 39.97487056)
Cumberland,2021-2022,89671914,58661866,5378771,42041,40.16759839,-77.26866271,POINT (-77.26866271 40.16759839)
Montour,2021-2022,6935381,4073183,364320,42093,41.02801824,-76.66470527,POINT (-76.66470527 41.02801824)
Susquehanna,2021-2022,15892532,9519446,962357,42115,41.82056860,-75.80250303,POINT (-75.80250303 41.8205686)
Greene,2021-2022,17453960,11074354,1053966,42059,39.85480393,-80.22943817,POINT (-80.22943817 39.85480393)
Warren,2021-2022,18029145,10834333,975789,42123,41.81675237,-79.27858158,POINT (-79.27858158 41.81675237)
Allegheny,2021-2022,554065696,321835975,32957679,42003,40.46735543,-79.98619843,POINT (-79.98619843 40.46735543)
Blair,2021-2022,71899910,45927011,3913386,42013,40.48555024,-78.34907687,POINT (-78.34907687 40.48555024)
Venango,2021-2022,22320579,13370685,1218875,42121,41.40341259,-79.76286561,POINT (-79.76286561 41.40341259)
Fulton,2021-2022,3766936,2195289,217597,42057,39.92487511,-78.11485045,POINT (-78.11485045 39.92487511)
Lehigh,2021-2022,115899515,73012707,6501269,42077,40.61464794,-75.60099481,POINT (-75.60099481 40.61464794)
Dauphin,2021-2022,141693985,81220445,6818124,42043,40.41974636,-76.77960568,POINT (-76.77960568 40.41974636)
Juniata,2021-2022,6058440,4012824,335329,42067,40.53433008,-77.40577500,POINT (-77.405775 40.53433008)
Wyoming,2021-2022,13393780,7740135,821961,42131,41.51892488,-76.01813003,POINT (-76.01813003 41.51892488)
Butler,2021-2022,77571495,45684279,4498974,42019,40.91083185,-79.91711779,POINT (-79.91711779 40.91083185)
Schuylkill,2021-2022,76481943,46212531,4102477,42107,40.70751243,-76.22332385,POINT (-76.22332385 40.70751243)
Centre,2021-2022,29251780,17156062,1652104,42027,40.91931350,-77.82500112,POINT (-77.82500112 40.9193135)
Mckean,2021-2022,18439361,11435552,1491743,42083,41.81037074,-78.57122020,POINT (-78.5712202 41.81037074)
Armstrong,2021-2022,32093440,19876902,1912923,42005,40.81509526,-79.47316899,POINT (-79.47316899 40.81509526)
Jefferson,2021-2022,17169786,11418891,970488,42065,41.13139091,-79.00101814,POINT (-79.00101814 41.13139091)
Lackawanna,2021-2022,118742260,72751722,6630120,42069,41.43910064,-75.61218345,POINT (-75.61218345 41.43910064)
Montgomery,2021-2022,272871978,158336778,15691770,42091,40.20989874,-75.37252001,POINT (-75.37252001 40.20989874)
Westmoreland,2021-2022,195127437,118680965,11451681,42129,40.31031500,-79.47134118,POINT (-79.47134118 40.310315)
Clinton,2021-2022,16443874,10445763,877748,42035,41.23286274,-77.64283760,POINT (-77.6428376 41.23286274)
Delaware,2021-2022,225946689,125678718,12612405,42045,39.91657867,-75.40627712,POINT (-75.40627712 39.91657867)
Monroe,2021-2022,65580957,37700358,3797696,42089,41.06091787,-75.34083603,POINT (-75.34083603 41.06091787)
Union,2021-2022,11622517,7010555,657970,42119,40.96473131,-77.06415803,POINT (-77.06415803 40.96473131)
Franklin,2021-2022,51540224,30436533,2950225,42055,39.92786197,-77.72398845,POINT (-77.72398845 39.92786197)
Carbon,2021-2022,31136473,19271491,1723854,42025,40.91936701,-75.71107039,POINT (-75.71107039 40.91936701)
Snyder,2021-2022,12377614,7554903,716435,42109,40.77113737,-77.07255968,POINT (-77.07255968 40.77113737)
Perry,2021-2022,14808057,9044282,802883,42099,40.40415317,-77.25907385,POINT (-77.25907385 40.40415317)
Bradford,2021-2022,26011475,15447606,1398821,42015,41.79117814,-76.51825624,POINT (-76.51825624 41.79117814)
Luzerne,2021-2022,165710357,111791942,9485131,42079,41.17836439,-75.99199610,POINT (-75.9919961 41.17836439)
York,2021-2022,149488820,90022802,8288225,42133,39.92192531,-76.72576052,POINT (-76.72576052 39.92192531)
Beaver,2021-2022,73433575,43123146,4244241,42007,40.68349245,-80.35107356,POINT (-80.35107356 40.68349245)
Lancaster,2021-2022,150731762,92535979,8495750,42071,40.04590796,-76.25138768,POINT (-76.25138768 40.04590796)
Northumberland,2021-2022,41144104,27718300,2268634,42097,40.85150926,-76.71188423,POINT (-76.71188423 40.85150926)
Wayne,2021-2022,19610541,11558885,1166604,42127,41.64969805,-75.30515350,POINT (-75.3051535 41.64969805)
Columbia,2021-2022,26227082,16202940,1600802,42037,41.04912086,-76.41002180,POINT (-76.4100218 41.04912086)
Philadelphia,2021-2022,650113703,369994972,35917975,42101,40.00444354,-75.14023600,POINT (-75.140236 40.00444354)
Clearfield,2021-2022,37438788,22357806,2042521,42033,41.00042900,-78.47558343,POINT (-78.47558343 41.000429)
Indiana,2021-2022,37561944,26522370,2259130,42063,40.65295497,-79.09333493,POINT (-79.09333493 40.65295497)
Cameron,2021-2022,2854304,1656424,136648,42023,41.43880265,-78.20916932,POINT (-78.20916932 41.43880265)
Mifflin,2021-2022,19131462,12248323,1052396,42087,40.61274928,-77.62003089,POINT (-77.62003089 40.61274928)
Lycoming,2021-2022,45424809,32350500,2563576,42081,41.34459792,-77.06942457,POINT (-77.06942457 41.34459792)
Forest,2021-2022,2217960,1189697,124616,42053,41.51357876,-79.23780995,POINT (-79.23780995 41.51357876)
Somerset,2021-2022,31898196,20760522,1957943,42111,39.97146299,-79.03100206,POINT (-79.03100206 39.97146299)
Elk,2021-2022,12622563,7350769,686399,42047,41.42819416,-78.64947713,POINT (-78.64947713 41.42819416)
Bucks,2021-2022,227633904,142845379,12994323,42017,40.33501133,-75.11291241,POINT (-75.11291241 40.33501133)
Tioga,2021-2022,13134940,8724302,723185,42117,41.77333834,-77.25788076,POINT (-77.25788076 41.77333834)
Lawrence,2021-2022,40543763,24435876,2337738,42073,40.99325035,-80.33754114,POINT (-80.33754114 40.99325035)
Huntingdon,2021-2022,16494488,10072997,904396,42061,40.41610500,-77.98276610,POINT (-77.9827661 40.416105)
Pike,2021-2022,16051780,8594181,923171,42103,41.33257200,-75.03270924,POINT (-75.03270924 41.332572)
Crawford,2021-2022,32265044,19045548,1754595,42039,41.68546907,-80.11321083,POINT (-80.11321083 41.68546907)
Bedford,2021-2022,13569603,7721048,751677,42009,40.00737536,-78.49116474,POINT (-78.49116474 40.00737536)
Northampton,2021-2022,98681017,56405881,5655763,42095,40.75459540,-75.31263726,POINT (-75.31263726 40.7545954)
Clarion,2021-2022,16516794,10405396,924983,42031,41.19279129,-79.42483608,POINT (-79.42483608 41.19279129)
Out Of Country,2021-2022,,240,,,,,
Washington,2021-2022,79801125,46976573,4627922,42125,40.19109663,-80.25180083,POINT (-80.25180083 40.19109663)
