County Name,State Fiscal Year,Ticket Sales,Prizes Paid,Retailer Commissions,FIPS County Code,Latitude,Longitude,Georeferenced Latitude & Longitude
Berks,2015-2016,122788752,78304522,6510340,42011,40.41939635,-75.93077327,POINT (-75.93077327 40.41939635)
Bradford,2014-2015,19689065,12107578,1054972,42015,41.79117814,-76.51825624,POINT (-76.51825624 41.79117814)
Delaware,2011-2012,133670945,85611258,6958038,42045,39.91657867,-75.40627712,POINT (-75.40627712 39.91657867)
Crawford,2016-2017,24277134,15316919,1286760,42039,41.68546907,-80.11321083,POINT (-80.11321083 41.68546907)
Cumberland,2013-2014,64214300,43150832,3464390,42041,40.16759839,-77.26866271,POINT (-77.26866271 40.16759839)
Lawrence,2017-2018,33064864,21574746,1781505,42073,40.99325035,-80.33754114,POINT (-80.33754114 40.99325035)
Out Of Country,2010-2011,,603,,,,,
Allegheny,2017-2018,436151860,271549148,23160769,42003,40.46735543,-79.98619843,POINT (-79.98619843 40.46735543)
Wayne,2010-2011,13999860,7954833,742062,42127,41.64969805,-75.3051535,POINT (-75.3051535 41.64969805)
Mckean,2011-2012,10930700,6932120,580379,42083,41.81037074,-78.5712202,POINT (-78.5712202 41.81037074)
Schuylkill,2017-2018,71131247,46166620,3832330,42107,40.70751243,-76.22332385,POINT (-76.22332385 40.70751243)
Perry,2014-2015,12214703,9070209,666397,42099,40.40415317,-77.25907385,POINT (-77.25907385 40.40415317)
Chester,2011-2012,83934013,48934314,4417404,42029,39.97487056,-75.75626498,POINT (-75.75626498 39.97487056)
Lebanon,2015-2016,32613551,19200540,1739069,42075,40.367597,-76.46182575,POINT (-76.46182575 40.367597)
Philadelphia,2013-2014,535223434,295105774,27928544,42101,40.00444354,-75.140236,POINT (-75.140236 40.00444354)
Washington,2010-2011,52326230,29224595,2745150,42125,40.19109663,-80.25180083,POINT (-80.25180083 40.19109663)
Luzerne,2018-2019,149101224,100079531,8682410,42079,41.17836439,-75.9919961,POINT (-75.9919961 41.17836439)
Tioga,2014-2015,15236649,9352753,816478,42117,41.77333834,-77.25788076,POINT (-77.25788076 41.77333834)
Beaver,2014-2015,51159768,29037127,2706190,42007,40.68349245,-80.35107356,POINT (-80.35107356 40.68349245)
Lebanon,2012-2013,28977538,20620057,1572619,42075,40.367597,-76.46182575,POINT (-76.46182575 40.367597)
York,2011-2012,108387680,63400886,5781500,42133,39.92192531,-76.72576052,POINT (-76.72576052 39.92192531)
Clinton,2011-2012,12302633,7366856,659281,42035,41.23286274,-77.6428376,POINT (-77.6428376 41.23286274)
Westmoreland,2016-2017,143825343,95871585,7626010,42129,40.310315,-79.47134118,POINT (-79.47134118 40.310315)
Allegheny,2013-2014,402883489,230190874,21284680,42003,40.46735543,-79.98619843,POINT (-79.98619843 40.46735543)
Bucks,2010-2011,126729608,71810742,6632920,42017,40.33501133,-75.11291241,POINT (-75.11291241 40.33501133)
Crawford,2014-2015,19000675,12030290,1015077,42039,41.68546907,-80.11321083,POINT (-80.11321083 41.68546907)
Mercer,2018-2019,42078957,26639807,2489537,42085,41.30237777,-80.26009411,POINT (-80.26009411 41.30237777)
Lackawanna,2018-2019,104506314,71503020,6136771,42069,41.43910064,-75.61218345,POINT (-75.61218345 41.43910064)
Out Of Country,2015-2016,,2538,,,,,
Warren,2014-2015,18985189,12754289,1026269,42123,41.81675237,-79.27858158,POINT (-79.27858158 41.81675237)
Westmoreland,2011-2012,129062260,76713167,6856722,42129,40.310315,-79.47134118,POINT (-79.47134118 40.310315)
York,2010-2011,98228267,58212247,5208872,42133,39.92192531,-76.72576052,POINT (-76.72576052 39.92192531)
Clarion,2018-2019,14185740,9294642,829809,42031,41.19279129,-79.42483608,POINT (-79.42483608 41.19279129)
Schuylkill,2013-2014,66255735,41470706,3556656,42107,40.70751243,-76.22332385,POINT (-76.22332385 40.70751243)
Bedford,2017-2018,13285515,8469672,710171,42009,40.00737536,-78.49116474,POINT (-78.49116474 40.00737536)
Franklin,2017-2018,39115369,25154595,2097982,42055,39.92786197,-77.72398845,POINT (-77.72398845 39.92786197)
Perry,2016-2017,11951287,8945821,641887,42099,40.40415317,-77.25907385,POINT (-77.25907385 40.40415317)
Fayette,2016-2017,54564557,35634293,2916230,42051,39.9194478,-79.65189635,POINT (-79.65189635 39.9194478)
Out Of State,2010-2011,,8516327,,,,,
Cameron,2010-2011,1653309,995215,87962,42023,41.43880265,-78.20916932,POINT (-78.20916932 41.43880265)
Lycoming,2012-2013,42625290,29678961,2307381,42081,41.34459792,-77.06942457,POINT (-77.06942457 41.34459792)
Union,2017-2018,10345875,7178280,561731,42119,40.96473131,-77.06415803,POINT (-77.06415803 40.96473131)
Susquehanna,2018-2019,14149048,9785701,831046,42115,41.8205686,-75.80250303,POINT (-75.80250303 41.8205686)
Butler,2016-2017,64858575,42652205,3468391,42019,40.91083185,-79.91711779,POINT (-79.91711779 40.91083185)
Pike,2015-2016,14106881,8455822,736579,42103,41.332572,-75.03270924,POINT (-75.03270924 41.332572)
Delaware,2015-2016,163177271,96379492,8517338,42045,39.91657867,-75.40627712,POINT (-75.40627712 39.91657867)
Sullivan,2013-2014,1611476,851060,87006,42113,41.4480994,-76.5147922,POINT (-76.5147922 41.4480994)
Washington,2015-2016,66445185,39573671,3505269,42125,40.19109663,-80.25180083,POINT (-80.25180083 40.19109663)
Schuylkill,2010-2011,56699867,35285266,3006622,42107,40.70751243,-76.22332385,POINT (-76.22332385 40.70751243)
Erie,2013-2014,80225093,49515583,4306302,42049,41.99413787,-80.0407591,POINT (-80.0407591 41.99413787)
Cameron,2015-2016,2159270,1326078,115028,42023,41.43880265,-78.20916932,POINT (-78.20916932 41.43880265)
Lycoming,2018-2019,43045285,29550451,2439763,42081,41.34459792,-77.06942457,POINT (-77.06942457 41.34459792)
Wayne,2012-2013,17767565,11628725,948787,42127,41.64969805,-75.3051535,POINT (-75.3051535 41.64969805)
Somerset,2014-2015,20343852,12435795,1089732,42111,39.97146299,-79.03100206,POINT (-79.03100206 39.97146299)
Lancaster,2014-2015,109906648,68021272,5889272,42071,40.04590796,-76.25138768,POINT (-76.25138768 40.04590796)
Bedford,2014-2015,9822204,5780464,522860,42009,40.00737536,-78.49116474,POINT (-78.49116474 40.00737536)
Juniata,2017-2018,5852447,4024117,317346,42067,40.53433008,-77.405775,POINT (-77.405775 40.53433008)
Armstrong,2018-2019,27234377,17540533,1656426,42005,40.81509526,-79.47316899,POINT (-79.47316899 40.81509526)
Fulton,2016-2017,3221623,2114960,173493,42057,39.92487511,-78.11485045,POINT (-78.11485045 39.92487511)
Clinton,2015-2016,15669542,10513894,842259,42035,41.23286274,-77.6428376,POINT (-77.6428376 41.23286274)
Luzerne,2010-2011,109798851,69689070,5844528,42079,41.17836439,-75.9919961,POINT (-75.9919961 41.17836439)
Mifflin,2012-2013,15325153,9735192,830512,42087,40.61274928,-77.62003089,POINT (-77.62003089 40.61274928)
Cumberland,2016-2017,67326214,42439632,3574429,42041,40.16759839,-77.26866271,POINT (-77.26866271 40.16759839)
Blair,2011-2012,54254605,37533691,2962092,42013,40.48555024,-78.34907687,POINT (-78.34907687 40.48555024)
Carbon,2016-2017,25612512,18269913,1360287,42025,40.91936701,-75.71107039,POINT (-75.71107039 40.91936701)
Monroe,2015-2016,50597252,31782822,2655393,42089,41.06091787,-75.34083603,POINT (-75.34083603 41.06091787)
Crawford,2010-2011,16731691,11012383,887808,42039,41.68546907,-80.11321083,POINT (-80.11321083 41.68546907)
Clarion,2014-2015,11519318,6985568,621380,42031,41.19279129,-79.42483608,POINT (-79.42483608 41.19279129)
Montour,2014-2015,7458967,5452363,411777,42093,41.02801824,-76.66470527,POINT (-76.66470527 41.02801824)
Armstrong,2015-2016,24337470,14414365,1289716,42005,40.81509526,-79.47316899,POINT (-79.47316899 40.81509526)
Adams,2018-2019,24844636,18273268,1474103,42001,39.87209565,-77.22224271,POINT (-77.22224271 39.87209565)
Bucks,2012-2013,153892684,122153610,8219335,42017,40.33501133,-75.11291241,POINT (-75.11291241 40.33501133)
Warren,2011-2012,16974302,10435932,905898,42123,41.81675237,-79.27858158,POINT (-79.27858158 41.81675237)
Jefferson,2013-2014,16253764,11476710,881773,42065,41.13139091,-79.00101814,POINT (-79.00101814 41.13139091)
